,tobs
305,76
306,74
307,74
308,64
309,64
310,67
311,77
312,66
313,69
314,68
315,68
316,71
317,74
318,67
319,66
320,69
321,71
322,70
323,70
324,74
325,74
326,71
327,75
328,75
329,72
643,69
644,68
645,73
646,74
647,73
648,73
649,73
650,73
651,71
652,73
653,73
654,77
655,72
656,71
657,73
658,70
659,73
660,69
661,74
662,72
663,71
664,72
665,72
666,70
667,73
668,73
669,72
670,73
671,73
672,72
673,63
1006,65
1007,71
1008,76
1009,70
1010,76
1011,69
1012,69
1013,69
1014,74
1015,76
1016,74
1017,73
1018,73
1019,74
1020,73
1021,73
1022,73
1023,74
1024,74
1025,71
1026,73
1027,72
1028,64
1029,66
1030,73
1031,72
1032,65
1033,64
1034,69
1035,68
1370,77
1371,71
1372,71
1373,69
1374,68
1375,68
1376,69
1377,70
1378,72
1379,76
1380,75
1381,69
1382,71
1383,71
1384,71
1385,68
1386,65
1387,70
1388,69
1389,69
1390,71
1391,67
1392,73
1393,74
1394,73
1395,67
1396,74
1397,75
1398,75
1399,74
1400,67
1733,73
1734,73
1735,71
1736,72
1737,71
1738,68
1739,65
1740,69
1741,70
1742,70
1743,74
1744,71
1745,74
1746,73
1747,72
1748,74
1749,72
1750,74
1751,75
1752,74
1753,70
1754,74
1755,70
1756,66
1757,61
1758,63
1759,63
1760,63
1761,63
1762,67
1763,56
2097,75
2098,77
2099,75
2100,75
2101,75
2102,75
2103,71
2104,70
2105,74
2106,74
2107,75
2108,72
2109,70
2110,66
2111,74
2112,75
2113,74
2114,75
2115,76
2116,74
2117,75
2118,74
2119,73
2120,68
2121,73
2122,74
2123,74
2124,77
2125,70
2126,70
2127,69
2463,75
2464,72
2465,69
2466,71
2467,68
2468,67
2469,69
2470,73
2471,70
2472,70
2473,70
2474,66
2475,67
2476,70
2477,66
2478,62
2479,71
2480,73
2481,69
2482,77
2483,74
2484,71
2485,72
2486,74
2487,74
2488,74
2489,74
2490,71
2491,73
2492,69
2493,66
3055,73
3056,72
3057,73
3058,74
3059,73
3060,66
3061,64
3062,66
3063,75
3064,65
3065,69
3066,71
3067,69
3068,78
3069,74
3070,68
3071,68
3072,70
3073,70
3074,71
3075,71
3076,71
3077,71
3078,69
3079,69
3080,72
3081,76
3082,72
3083,73
3084,73
3085,74
3404,69
3405,68
3406,74
3407,73
3408,73
3409,72
3410,71
3411,71
3412,68
3413,72
3414,71
3415,72
3416,71
3417,71
3418,72
3419,71
3420,71
3421,72
3422,72
3423,72
3424,69
3425,71
3426,71
3427,69
3428,74
3429,72
3430,71
3431,71
3432,72
3433,71
3434,67
3767,65
3768,70
3769,76
3770,68
3771,71
3772,71
3773,68
3774,70
3775,73
3776,73
3777,72
3778,71
3779,70
3780,72
3781,71
3782,72
3783,72
3784,71
3785,70
3786,71
3787,71
3788,71
3789,66
3790,65
3791,73
3792,72
3793,72
3794,65
3795,65
3796,68
3797,67
4129,76
4130,70
4131,71
4132,69
4133,67
4134,69
4135,71
4136,69
4137,72
4138,76
4139,75
4140,72
4141,75
4142,71
4143,69
4144,68
4145,68
4146,72
4147,70
4148,72
4149,75
4150,69
4151,72
4152,73
4153,73
4154,72
4155,73
4156,74
4157,73
4158,72
4159,68
4488,72
4489,71
4490,69
4491,67
4492,70
4493,72
4494,67
4495,67
4496,69
4497,67
4498,74
4499,70
4500,73
4501,71
4502,71
4503,71
4504,71
4505,72
4506,76
4507,78
4508,76
4509,73
4510,70
4511,68
4512,77
4513,66
4514,65
4515,69
4516,69
4517,66
4518,64
4825,74
4826,75
4827,80
4828,72
4829,73
4830,70
4831,69
4832,77
4833,74
4834,77
4835,72
4836,69
4837,69
4838,75
4839,75
4840,72
4841,73
4842,78
4843,75
4844,75
4845,74
4846,73
4847,70
4848,70
4849,72
4850,74
4851,74
4852,67
4853,74
4854,70
5190,73
5191,71
5192,71
5193,69
5194,68
5195,70
5196,71
5197,72
5198,70
5199,71
5200,72
5201,68
5202,68
5203,70
5204,70
5205,63
5206,71
5207,67
5208,69
5209,74
5210,72
5211,70
5212,69
5213,73
5214,74
5215,74
5216,73
5217,71
5218,72
5219,69
5220,71
5691,73
5692,73
5693,71
5694,72
5695,71
5696,64
5697,71
5698,62
5699,70
5700,64
5701,64
5702,70
5703,70
5704,69
5705,72
5706,68
5707,68
5708,65
5709,67
5710,68
5711,70
5712,67
5713,73
5714,70
5715,68
5716,72
5717,69
5718,71
5719,70
5720,75
5987,70
5988,68
5989,73
5990,71
5991,71
5992,70
5993,70
5994,70
5995,70
5996,72
5997,74
5998,71
5999,70
6000,70
6001,69
6002,71
6003,70
6004,70
6005,72
6006,72
6007,72
6008,72
6009,72
6010,70
6011,66
6012,71
6240,68
6241,79
6242,76
6243,73
6244,75
6245,71
6246,76
6247,74
6248,73
6249,73
6250,74
6251,73
6252,72
6253,76
6254,75
6255,77
6256,74
6257,76
6258,75
6259,76
6514,73
6515,75
6516,73
6517,73
6518,74
6519,78
6520,78
6521,78
6522,75
6523,75
6524,75
6525,74
6526,77
6527,72
6528,72
6529,73
6530,71
6531,75
6532,76
6533,74
6534,75
6535,74
6536,75
6537,73
6538,72
6539,72
6540,75
6805,74
6806,74
6807,72
6808,73
6809,70
6810,76
6811,78
6812,76
6813,78
6814,74
6815,71
6816,78
6817,70
6818,74
6819,74
6820,75
6821,76
6822,78
6823,72
6824,73
6825,76
6826,72
6827,72
7098,78
7099,76
7100,76
7101,77
7102,79
7103,73
7104,79
7105,77
7106,78
7107,76
7108,78
7109,77
7110,79
7111,75
7112,77
7113,76
7114,78
7115,78
7116,77
7117,78
7118,78
7119,76
7120,75
7121,72
7412,75
7413,77
7414,75
7415,77
7416,76
7417,76
7418,75
7419,72
7420,76
7421,75
7422,72
7423,72
7424,75
7425,69
7426,75
7427,74
7428,78
7429,77
7430,76
7431,72
7432,73
7433,74
7434,74
7435,74
7436,73
7437,73
7438,71
7439,72
7765,72
7766,75
7767,66
7768,66
7769,67
7770,76
7771,68
7772,69
7773,71
7774,70
7775,68
7776,66
7971,69
7972,69
7973,71
